order_id,product_id,product_name,region,channel,period,qty_sold,unit_price,revenue,returns_qty
ORD-001764,PROD-010,Product J,Middle East & Africa,Wholesale,2025-12,12082,33.66,406680.12,543
ORD-000164,PROD-001,Product A,Latin America,Online,2024-08,15901,69.08,1098441.08,330
ORD-000720,PROD-004,Product D,Latin America,Retail,2025-12,49575,70.79,3509414.25,585
ORD-001342,PROD-008,Product H,Asia Pacific,Retail,2023-10,16978,74.43,1263672.54,316
ORD-001357,PROD-008,Product H,Asia Pacific,Distributor,2025-01,15211,84.26,1281678.86,631
ORD-000934,PROD-006,Product F,North America,Retail,2025-10,12576,50.44,634333.44,168
ORD-000935,PROD-006,Product F,North America,Distributor,2025-11,13683,83.57,1143488.31,19
ORD-001335,PROD-008,Product H,Asia Pacific,Distributor,2023-03,13601,60.94,828844.94,30
ORD-000237,PROD-002,Product B,Europe,Direct,2024-09,24524,87.57,2147566.68,961
ORD-000607,PROD-004,Product D,Europe,Wholesale,2025-07,28206,56.15,1583766.9,796
ORD-000744,PROD-005,Product E,North America,Retail,2024-12,10419,16.76,174622.44,122
ORD-001783,PROD-010,Product J,Latin America,Direct,2024-07,17976,14.04,252383.04,321
ORD-000361,PROD-003,Product C,North America,Wholesale,2023-01,5447,32.0,174304.0,76
ORD-000162,PROD-001,Product A,Latin America,Online,2024-06,15232,69.3,1055577.6,630
ORD-000470,PROD-003,Product C,Middle East & Africa,Retail,2023-02,5921,56.64,335365.44,185
ORD-001280,PROD-008,Product H,North America,Distributor,2024-08,19949,89.78,1791021.22,955
ORD-000585,PROD-004,Product D,Europe,Wholesale,2023-09,17399,25.6,445414.4,500
ORD-000514,PROD-003,Product C,Latin America,Wholesale,2023-10,19018,89.06,1693743.08,536
ORD-000814,PROD-005,Product E,Asia Pacific,Wholesale,2024-10,9222,29.44,271495.68,244
ORD-000775,PROD-005,Product E,Europe,Retail,2024-07,11429,46.17,527676.93,242
ORD-001634,PROD-010,Product J,North America,Distributor,2024-02,20585,62.4,1284504.0,702
ORD-000756,PROD-005,Product E,North America,Wholesale,2025-12,13176,78.87,1039191.12,429
ORD-000139,PROD-001,Product A,Middle East & Africa,Wholesale,2025-07,16716,54.77,915535.32,225
ORD-000445,PROD-003,Product C,Asia Pacific,Wholesale,2024-01,11640,85.84,999177.6,290
ORD-001157,PROD-007,Product G,Asia Pacific,Distributor,2023-05,18106,74.43,1347629.58,361
ORD-000677,PROD-004,Product D,Middle East & Africa,Distributor,2025-05,11859,44.17,523812.03,425
ORD-001705,PROD-010,Product J,Asia Pacific,Wholesale,2024-01,21424,59.94,1284154.56,139
ORD-001551,PROD-009,Product I,Middle East & Africa,Online,2023-03,5814,73.86,429422.04,255
ORD-001207,PROD-007,Product G,Middle East & Africa,Distributor,2024-07,14159,69.59,985324.81,641
ORD-001711,PROD-010,Product J,Asia Pacific,Distributor,2024-07,28150,88.45,2489867.5,438
ORD-000715,PROD-004,Product D,Latin America,Retail,2025-07,36450,22.77,829966.5,1063
ORD-001145,PROD-007,Product G,Europe,Online,2025-05,23553,72.85,1715836.05,809
ORD-000704,PROD-004,Product D,Latin America,Online,2024-08,28415,37.49,1065278.35,691
